Parameter,Models_Count,Avg_AIC,Min_AIC,Max_AIC,Avg_MAE,Success_Rate
wind_speed_10m,122,4777.32835529271,1153.7836843555408,6286.288356746674,1.0468564166952468,96.1%
wind_speed_50m,122,5586.193682836851,2985.1559843776536,6753.619220487444,1.356095733512667,96.1%
wind_power_density_10m,122,15017.70762476785,4286.006779568273,18736.527178275202,36.580114015386364,96.1%
wind_power_density_50m,122,17446.15174349156,9771.574571340901,19973.65456874937,79.6543373002653,96.1%
wind_speed_2m,122,3808.185203010314,-3547.5796318840676,5700.947860147768,0.8234301131825325,96.1%
