City,Parameter,Status,AIC,MAE,RMSE,MAPE,Model_File
Jamnagar,wind_speed_50m,Success,5690.65,1.457,1.853,29.2%,sarima_Jamnagar_wind_speed_50m.pkl
Jodhpur,wind_power_density_10m,Success,15268.92,32.236,44.519,198.1%,sarima_Jodhpur_wind_power_density_10m.pkl
Jamnagar,wind_power_density_10m,Success,16889.23,53.770,77.784,269.8%,sarima_Jamnagar_wind_power_density_10m.pkl
Jodhpur,wind_speed_50m,Success,5671.87,1.442,1.784,28.5%,sarima_Jodhpur_wind_speed_50m.pkl
Jamnagar,wind_speed_10m,Success,5232.34,1.246,1.578,31.1%,sarima_Jamnagar_wind_speed_10m.pkl
Jamnagar,wind_speed_2m,Success,4654.74,1.054,1.315,33.7%,sarima_Jamnagar_wind_speed_2m.pkl
Jodhpur,wind_speed_10m,Success,4931.60,1.127,1.441,30.9%,sarima_Jodhpur_wind_speed_10m.pkl
Jamnagar,wind_power_density_50m,Success,18475.45,96.693,137.445,255.7%,sarima_Jamnagar_wind_power_density_50m.pkl
Kadapa,wind_power_density_10m,Success,16311.28,46.211,74.896,231.3%,sarima_Kadapa_wind_power_density_10m.pkl
Kadapa,wind_speed_50m,Success,5955.66,1.418,1.858,27.0%,sarima_Kadapa_wind_speed_50m.pkl
Jodhpur,wind_speed_2m,Success,4277.17,0.938,1.183,37.3%,sarima_Jodhpur_wind_speed_2m.pkl
Kadapa,wind_power_density_50m,Success,18609.75,106.819,156.907,188.6%,sarima_Kadapa_wind_power_density_50m.pkl
Kadapa,wind_speed_2m,Success,4485.92,0.900,1.191,34.0%,sarima_Kadapa_wind_speed_2m.pkl
Jodhpur,wind_power_density_50m,Success,17424.27,75.038,99.250,164.8%,sarima_Jodhpur_wind_power_density_50m.pkl
Kadapa,wind_speed_10m,Success,5292.68,1.160,1.536,30.8%,sarima_Kadapa_wind_speed_10m.pkl
Kannur,wind_speed_50m,Success,4136.96,0.910,1.108,33.5%,sarima_Kannur_wind_speed_50m.pkl
Kannur,wind_power_density_10m,Success,9065.33,3.584,5.348,178.7%,sarima_Kannur_wind_power_density_10m.pkl
Kanyakumari,wind_speed_50m,Success,6175.79,1.717,2.110,38.9%,sarima_Kanyakumari_wind_speed_50m.pkl
Kanyakumari,wind_power_density_10m,Success,16873.32,66.817,86.160,267.8%,sarima_Kanyakumari_wind_power_density_10m.pkl
Kanyakumari,wind_speed_10m,Success,5537.17,1.353,1.676,35.3%,sarima_Kanyakumari_wind_speed_10m.pkl
Kannur,wind_power_density_50m,Success,13557.29,18.485,24.386,250.5%,sarima_Kannur_wind_power_density_50m.pkl
Kannur,wind_speed_10m,Success,2559.10,0.499,0.632,29.3%,sarima_Kannur_wind_speed_10m.pkl
Kannur,wind_speed_2m,Success,336.97,0.228,0.313,23.3%,sarima_Kannur_wind_speed_2m.pkl
Karaikal,wind_speed_50m,Success,5710.80,1.412,1.704,29.0%,sarima_Karaikal_wind_speed_50m.pkl
Karaikal,wind_speed_10m,Success,5055.25,1.094,1.335,27.0%,sarima_Karaikal_wind_speed_10m.pkl
Karaikal,wind_power_density_10m,Success,16628.59,47.880,71.081,140.9%,sarima_Karaikal_wind_power_density_10m.pkl
Kanyakumari,wind_power_density_50m,Success,18519.93,123.613,153.830,354.0%,sarima_Kanyakumari_wind_power_density_50m.pkl
Karaikal,wind_speed_2m,Success,4364.62,0.862,1.048,25.7%,sarima_Karaikal_wind_speed_2m.pkl
Karaikal,wind_power_density_50m,Success,18392.42,93.044,133.010,160.6%,sarima_Karaikal_wind_power_density_50m.pkl
Kanyakumari,wind_speed_2m,Success,4872.00,1.077,1.330,33.4%,sarima_Kanyakumari_wind_speed_2m.pkl
Karwar,wind_speed_10m,Success,2330.67,0.410,0.537,26.8%,sarima_Karwar_wind_speed_10m.pkl
Karwar,wind_speed_50m,Success,4198.03,0.861,1.073,29.5%,sarima_Karwar_wind_speed_50m.pkl
Karimnagar,wind_power_density_10m,Success,14582.93,21.287,29.506,357.0%,sarima_Karimnagar_wind_power_density_10m.pkl
Karimnagar,wind_power_density_50m,Success,17333.13,59.399,82.226,322.4%,sarima_Karimnagar_wind_power_density_50m.pkl
Karimnagar,wind_speed_50m,Success,5523.14,1.332,1.654,35.8%,sarima_Karimnagar_wind_speed_50m.pkl
Karwar,wind_power_density_10m,Success,8404.18,2.685,3.602,195.9%,sarima_Karwar_wind_power_density_10m.pkl
Karimnagar,wind_speed_10m,Success,4588.31,0.949,1.207,35.5%,sarima_Karimnagar_wind_speed_10m.pkl
Karimnagar,wind_speed_2m,Success,3722.05,0.717,0.911,40.1%,sarima_Karimnagar_wind_speed_2m.pkl
Karwar,wind_power_density_50m,Success,13833.37,19.865,25.815,208.5%,sarima_Karwar_wind_power_density_50m.pkl
Kasaragod,wind_power_density_10m,Success,13392.78,17.280,29.491,160.9%,sarima_Kasaragod_wind_power_density_10m.pkl
Kasaragod,wind_power_density_50m,Success,15583.22,37.712,61.731,193.6%,sarima_Kasaragod_wind_power_density_50m.pkl
Karwar,wind_speed_2m,Success,-2103.51,0.085,0.109,18.1%,sarima_Karwar_wind_speed_2m.pkl
Kasaragod,wind_speed_10m,Success,4110.32,0.835,1.108,28.4%,sarima_Kasaragod_wind_speed_10m.pkl
Kasaragod,wind_speed_50m,Success,4888.39,1.133,1.449,31.9%,sarima_Kasaragod_wind_speed_50m.pkl
Kasaragod,wind_speed_2m,Success,3320.49,0.636,0.840,27.5%,sarima_Kasaragod_wind_speed_2m.pkl
Kayathar,wind_speed_50m,Success,5733.40,1.374,1.639,35.4%,sarima_Kayathar_wind_speed_50m.pkl
Kayathar,wind_speed_10m,Success,4929.73,1.015,1.201,37.6%,sarima_Kayathar_wind_speed_10m.pkl
Kayathar,wind_power_density_10m,Success,14810.13,25.390,30.528,341.4%,sarima_Kayathar_wind_power_density_10m.pkl
Kayathar,wind_speed_2m,Success,3915.65,0.730,0.855,41.5%,sarima_Kayathar_wind_speed_2m.pkl
Kayathar,wind_power_density_50m,Success,17336.09,67.497,80.656,289.3%,sarima_Kayathar_wind_power_density_50m.pkl
Kohima,wind_power_density_10m,Success,4286.01,0.714,1.314,146.7%,sarima_Kohima_wind_power_density_10m.pkl
Kohima,wind_speed_10m,Success,1161.80,0.309,0.409,29.3%,sarima_Kohima_wind_speed_10m.pkl
Kohima,wind_speed_50m,Success,3211.16,0.624,0.838,34.2%,sarima_Kohima_wind_speed_50m.pkl
Kohima,wind_power_density_50m,Success,10043.97,4.743,10.123,190.0%,sarima_Kohima_wind_power_density_50m.pkl
Kohima,wind_speed_2m,Success,-3547.58,0.060,0.073,57.2%,sarima_Kohima_wind_speed_2m.pkl
Kolhapur,wind_power_density_10m,Success,17085.90,60.060,91.198,307.0%,sarima_Kolhapur_wind_power_density_10m.pkl
Kollam,wind_power_density_10m,Success,11839.72,10.328,12.784,309.1%,sarima_Kollam_wind_power_density_10m.pkl
Kolhapur,wind_speed_2m,Success,4737.05,0.964,1.264,36.3%,sarima_Kolhapur_wind_speed_2m.pkl
Kolhapur,wind_speed_10m,Success,5667.47,1.292,1.703,33.3%,sarima_Kolhapur_wind_speed_10m.pkl
Kolhapur,wind_power_density_50m,Success,19373.58,138.657,202.408,263.0%,sarima_Kolhapur_wind_power_density_50m.pkl
Kollam,wind_speed_50m,Success,4930.82,1.216,1.433,38.3%,sarima_Kollam_wind_speed_50m.pkl
Kollam,wind_speed_10m,Success,3721.13,0.782,0.919,37.9%,sarima_Kollam_wind_speed_10m.pkl
Kolhapur,wind_speed_50m,Success,6392.86,1.666,2.163,31.5%,sarima_Kolhapur_wind_speed_50m.pkl
Kollam,wind_speed_2m,Success,2204.57,0.458,0.537,37.6%,sarima_Kollam_wind_speed_2m.pkl
Kozhikode,wind_speed_50m,Success,4526.94,1.014,1.313,29.8%,sarima_Kozhikode_wind_speed_50m.pkl
Kollam,wind_power_density_50m,Success,15346.90,38.516,47.454,309.1%,sarima_Kollam_wind_power_density_50m.pkl
Kozhikode,wind_power_density_50m,Success,14733.66,27.946,42.852,174.9%,sarima_Kozhikode_wind_power_density_50m.pkl
Kozhikode,wind_speed_10m,Success,3567.13,0.720,0.952,26.8%,sarima_Kozhikode_wind_speed_10m.pkl
Kozhikode,wind_power_density_10m,Success,12061.40,11.003,17.544,139.4%,sarima_Kozhikode_wind_power_density_10m.pkl
Kozhikode,wind_speed_2m,Success,2593.62,0.515,0.688,25.5%,sarima_Kozhikode_wind_speed_2m.pkl
Kutch,wind_speed_10m,Success,5745.23,2.587,3.040,51.0%,sarima_Kutch_wind_speed_10m.pkl
Kurnool,wind_power_density_50m,Success,18262.20,90.711,126.904,204.4%,sarima_Kurnool_wind_power_density_50m.pkl
Kurnool,wind_power_density_10m,Success,15981.77,39.648,56.565,258.5%,sarima_Kurnool_wind_power_density_10m.pkl
Kutch,wind_speed_50m,Success,5853.16,1.548,1.878,29.1%,sarima_Kutch_wind_speed_50m.pkl
Kurnool,wind_speed_2m,Success,4389.25,0.840,1.073,33.8%,sarima_Kurnool_wind_speed_2m.pkl
Kutch,wind_speed_2m,Success,5137.57,2.267,2.663,60.1%,sarima_Kutch_wind_speed_2m.pkl
Kurnool,wind_speed_50m,Success,5832.54,1.345,1.731,27.2%,sarima_Kurnool_wind_speed_50m.pkl
Kutch,wind_power_density_10m,Success,16812.67,53.080,72.194,252.9%,sarima_Kutch_wind_power_density_10m.pkl
Kurnool,wind_speed_10m,Success,5190.91,1.102,1.407,31.2%,sarima_Kurnool_wind_speed_10m.pkl
Kutch,wind_power_density_50m,Success,18364.14,94.852,125.160,173.1%,sarima_Kutch_wind_power_density_50m.pkl
Lamba (Jamnagar),wind_speed_50m,Success,5690.65,1.457,1.853,29.2%,sarima_Lamba_(Jamnagar)_wind_speed_50m.pkl
Lamba (Jamnagar),wind_speed_10m,Success,5232.34,1.246,1.578,31.1%,sarima_Lamba_(Jamnagar)_wind_speed_10m.pkl
Lamba (Jamnagar),wind_power_density_10m,Success,16889.23,53.770,77.784,269.8%,sarima_Lamba_(Jamnagar)_wind_power_density_10m.pkl
Lamba (Jamnagar),wind_speed_2m,Success,4654.74,1.054,1.315,33.7%,sarima_Lamba_(Jamnagar)_wind_speed_2m.pkl
Lamba (Jamnagar),wind_power_density_50m,Success,18475.45,96.693,137.445,255.7%,sarima_Lamba_(Jamnagar)_wind_power_density_50m.pkl
Lonavala,wind_speed_10m,Success,4581.83,0.793,1.216,21.0%,sarima_Lonavala_wind_speed_10m.pkl
Lonavala,wind_power_density_10m,Success,14996.27,30.467,55.934,137.7%,sarima_Lonavala_wind_power_density_10m.pkl
Lonavala,wind_power_density_50m,Success,17488.40,75.136,125.721,151.2%,sarima_Lonavala_wind_power_density_50m.pkl
Lonavala,wind_speed_2m,Success,3797.83,0.620,0.947,23.1%,sarima_Lonavala_wind_speed_2m.pkl
Lucknow,wind_power_density_10m,Success,14127.48,20.592,35.608,314.5%,sarima_Lucknow_wind_power_density_10m.pkl
Lucknow,wind_speed_50m,Success,5691.57,1.557,1.940,40.6%,sarima_Lucknow_wind_speed_50m.pkl
Lonavala,wind_speed_50m,Success,5521.49,1.188,1.652,24.2%,sarima_Lonavala_wind_speed_50m.pkl
Lucknow,wind_speed_10m,Success,4508.43,0.999,1.263,38.7%,sarima_Lucknow_wind_speed_10m.pkl
Mahabaleshwar,wind_speed_10m,Success,5328.55,1.078,1.558,27.3%,sarima_Mahabaleshwar_wind_speed_10m.pkl
Mahabaleshwar,wind_speed_50m,Success,6018.61,1.376,1.928,25.5%,sarima_Mahabaleshwar_wind_speed_50m.pkl
Mahabaleshwar,wind_power_density_10m,Success,16356.91,47.600,78.574,231.7%,sarima_Mahabaleshwar_wind_power_density_10m.pkl
Mahabaleshwar,wind_power_density_50m,Success,18529.11,102.248,164.374,182.6%,sarima_Mahabaleshwar_wind_power_density_50m.pkl
Lucknow,wind_power_density_50m,Success,17180.76,71.714,114.924,352.5%,sarima_Lucknow_wind_power_density_50m.pkl
Mahabaleshwar,wind_speed_2m,Success,4472.18,0.848,1.203,32.4%,sarima_Mahabaleshwar_wind_speed_2m.pkl
Lucknow,wind_speed_2m,Success,3557.13,0.705,0.901,41.4%,sarima_Lucknow_wind_speed_2m.pkl
Mahabubnagar,wind_power_density_10m,Success,16202.77,41.358,58.028,389.2%,sarima_Mahabubnagar_wind_power_density_10m.pkl
Mahabubnagar,wind_speed_10m,Success,5273.51,1.173,1.471,35.9%,sarima_Mahabubnagar_wind_speed_10m.pkl
Malappuram,wind_power_density_10m,Success,10384.88,5.190,6.896,160.1%,sarima_Malappuram_wind_power_density_10m.pkl
Mahabubnagar,wind_power_density_50m,Success,18441.50,94.834,130.642,310.6%,sarima_Mahabubnagar_wind_power_density_50m.pkl
Malappuram,wind_speed_50m,Success,4507.08,0.949,1.138,31.3%,sarima_Malappuram_wind_speed_50m.pkl
Mahabubnagar,wind_speed_2m,Success,4462.96,0.889,1.115,39.0%,sarima_Mahabubnagar_wind_speed_2m.pkl
Malappuram,wind_speed_10m,Success,3050.64,0.560,0.684,28.4%,sarima_Malappuram_wind_speed_10m.pkl
Mahabubnagar,wind_speed_50m,Success,5910.47,1.458,1.829,31.7%,sarima_Mahabubnagar_wind_speed_50m.pkl
Malappuram,wind_power_density_50m,Success,14407.88,23.070,28.919,212.1%,sarima_Malappuram_wind_power_density_50m.pkl
Mandapam,wind_speed_50m,Success,6429.59,1.759,2.181,39.5%,sarima_Mandapam_wind_speed_50m.pkl
Mandapam,wind_power_density_10m,Success,18242.45,95.204,113.329,346.5%,sarima_Mandapam_wind_power_density_10m.pkl
Mandapam,wind_speed_10m,Success,5946.38,1.482,1.839,37.2%,sarima_Mandapam_wind_speed_10m.pkl
Mandapam,wind_power_density_50m,Success,19521.94,147.743,177.234,397.4%,sarima_Mandapam_wind_power_density_50m.pkl
Malappuram,wind_speed_2m,Success,1244.76,0.315,0.393,26.0%,sarima_Malappuram_wind_speed_2m.pkl
Mandapam,wind_speed_2m,Success,5353.19,1.220,1.520,35.4%,sarima_Mandapam_wind_speed_2m.pkl
Mandya,wind_speed_50m,Success,5825.53,1.392,1.686,34.2%,sarima_Mandya_wind_speed_50m.pkl
Mandsaur,wind_speed_2m,Success,4224.48,0.947,1.183,39.6%,sarima_Mandsaur_wind_speed_2m.pkl
Mandsaur,wind_speed_50m,Success,5684.22,1.491,1.805,31.3%,sarima_Mandsaur_wind_speed_50m.pkl
Mandya,wind_speed_10m,Success,5109.76,1.085,1.309,37.9%,sarima_Mandya_wind_speed_10m.pkl
Mandsaur,wind_speed_10m,Success,4968.56,1.177,1.478,33.6%,sarima_Mandsaur_wind_speed_10m.pkl
Mandya,wind_power_density_10m,Success,15331.52,30.967,38.096,349.5%,sarima_Mandya_wind_power_density_10m.pkl
Mandsaur,wind_power_density_50m,Success,17375.13,72.927,99.502,243.5%,sarima_Mandsaur_wind_power_density_50m.pkl
Mandsaur,wind_power_density_10m,Success,15249.15,31.901,46.465,253.6%,sarima_Mandsaur_wind_power_density_10m.pkl
Mandya,wind_power_density_50m,Success,17782.73,76.356,92.087,284.8%,sarima_Mandya_wind_power_density_50m.pkl
Mangalore,wind_power_density_10m,Success,12402.34,11.968,20.410,195.8%,sarima_Mangalore_wind_power_density_10m.pkl
Mandya,wind_speed_2m,Success,4233.11,0.807,0.972,40.9%,sarima_Mandya_wind_speed_2m.pkl
Mangalore,wind_speed_50m,Success,4740.78,1.102,1.374,33.2%,sarima_Mangalore_wind_speed_50m.pkl
Mangalore,wind_speed_2m,Success,2679.21,0.509,0.668,28.0%,sarima_Mangalore_wind_speed_2m.pkl
Mangalore,wind_power_density_50m,Success,15244.97,34.873,52.233,262.4%,sarima_Mangalore_wind_power_density_50m.pkl
Mangalore,wind_speed_10m,Success,3742.88,0.745,0.954,30.3%,sarima_Mangalore_wind_speed_10m.pkl
Mumbai,wind_speed_10m,Success,4581.83,0.793,1.216,21.0%,sarima_Mumbai_wind_speed_10m.pkl
Mundra,wind_speed_50m,Success,5788.00,1.511,1.880,29.3%,sarima_Mundra_wind_speed_50m.pkl
Mumbai,wind_power_density_50m,Success,17488.40,75.136,125.721,151.2%,sarima_Mumbai_wind_power_density_50m.pkl
Mumbai,wind_speed_2m,Success,3797.83,0.620,0.947,23.1%,sarima_Mumbai_wind_speed_2m.pkl
Mumbai,wind_power_density_10m,Success,14996.27,30.467,55.934,137.7%,sarima_Mumbai_wind_power_density_10m.pkl
Mundra,wind_power_density_10m,Success,16905.63,53.787,75.085,262.5%,sarima_Mundra_wind_power_density_10m.pkl
Mundra,wind_speed_10m,Success,5367.78,1.334,1.654,33.5%,sarima_Mundra_wind_speed_10m.pkl
Mumbai,wind_speed_50m,Success,5521.49,1.188,1.652,24.2%,sarima_Mumbai_wind_speed_50m.pkl
Mundra,wind_speed_2m,Success,5082.99,2.067,2.437,51.9%,sarima_Mundra_wind_speed_2m.pkl
Munnar,wind_speed_10m,Success,2729.78,0.527,0.630,41.6%,sarima_Munnar_wind_speed_10m.pkl
Munnar,wind_power_density_50m,Success,13892.85,19.182,24.509,454.4%,sarima_Munnar_wind_power_density_50m.pkl
Munnar,wind_power_density_10m,Success,8581.05,2.805,3.599,412.9%,sarima_Munnar_wind_power_density_10m.pkl
Munnar,wind_speed_50m,Success,4539.80,1.026,1.216,44.3%,sarima_Munnar_wind_speed_50m.pkl
Mundra,wind_power_density_50m,Success,18487.07,97.436,131.721,206.4%,sarima_Mundra_wind_power_density_50m.pkl
Munnar,wind_speed_2m,Success,-1840.37,0.100,0.125,27.1%,sarima_Munnar_wind_speed_2m.pkl
Muppandal,wind_speed_50m,Success,5733.40,1.374,1.639,35.4%,sarima_Muppandal_wind_speed_50m.pkl
Muppandal,wind_speed_10m,Success,4929.73,1.015,1.201,37.6%,sarima_Muppandal_wind_speed_10m.pkl
Muppandal,wind_speed_2m,Success,3915.65,0.730,0.855,41.5%,sarima_Muppandal_wind_speed_2m.pkl
Muppandal,wind_power_density_10m,Success,14810.13,25.390,30.528,341.4%,sarima_Muppandal_wind_power_density_10m.pkl
Mysore,wind_speed_50m,Success,5825.53,1.392,1.686,34.2%,sarima_Mysore_wind_speed_50m.pkl
Muppandal,wind_power_density_50m,Success,17336.09,67.497,80.656,289.3%,sarima_Muppandal_wind_power_density_50m.pkl
Mysore,wind_power_density_10m,Success,15331.52,30.967,38.096,349.5%,sarima_Mysore_wind_power_density_10m.pkl
Mysore,wind_speed_10m,Success,5109.76,1.085,1.309,37.9%,sarima_Mysore_wind_speed_10m.pkl
Nagapattinam,wind_speed_50m,Success,5710.80,1.412,1.704,29.0%,sarima_Nagapattinam_wind_speed_50m.pkl
Mysore,wind_power_density_50m,Success,17782.73,76.356,92.087,284.8%,sarima_Mysore_wind_power_density_50m.pkl
Nagapattinam,wind_speed_10m,Success,5055.25,1.094,1.335,27.0%,sarima_Nagapattinam_wind_speed_10m.pkl
Nagapattinam,wind_power_density_10m,Success,16628.59,47.880,71.081,140.9%,sarima_Nagapattinam_wind_power_density_10m.pkl
Nagapattinam,wind_speed_2m,Success,4364.62,0.862,1.048,25.7%,sarima_Nagapattinam_wind_speed_2m.pkl
Mysore,wind_speed_2m,Success,4233.11,0.807,0.972,40.9%,sarima_Mysore_wind_speed_2m.pkl
Nagapattinam,wind_power_density_50m,Success,18392.42,93.044,133.010,160.6%,sarima_Nagapattinam_wind_power_density_50m.pkl
Nagpur,wind_speed_50m,Success,5377.44,1.333,1.712,33.5%,sarima_Nagpur_wind_speed_50m.pkl
Nagpur,wind_speed_10m,Success,4458.22,0.931,1.247,33.4%,sarima_Nagpur_wind_speed_10m.pkl
Nalgonda,wind_speed_50m,Success,5723.99,1.389,1.743,32.6%,sarima_Nalgonda_wind_speed_50m.pkl
Nagpur,wind_power_density_10m,Success,14236.45,18.236,32.776,249.0%,sarima_Nagpur_wind_power_density_10m.pkl
Nagpur,wind_power_density_50m,Success,16886.75,52.126,84.504,258.6%,sarima_Nagpur_wind_power_density_50m.pkl
Nalgonda,wind_power_density_10m,Success,15306.24,30.103,43.141,296.7%,sarima_Nalgonda_wind_power_density_10m.pkl
Nagpur,wind_speed_2m,Success,3605.34,0.704,0.944,36.8%,sarima_Nagpur_wind_speed_2m.pkl
Nalgonda,wind_speed_10m,Success,4905.23,1.035,1.319,34.2%,sarima_Nalgonda_wind_speed_10m.pkl
Nalgonda,wind_power_density_50m,Success,17899.27,76.321,108.207,247.5%,sarima_Nalgonda_wind_power_density_50m.pkl
Nashik,wind_speed_50m,Success,5883.08,1.393,1.953,23.9%,sarima_Nashik_wind_speed_50m.pkl
Nashik,wind_speed_10m,Success,5218.36,1.131,1.608,26.6%,sarima_Nashik_wind_speed_10m.pkl
Nashik,wind_power_density_50m,Success,18436.62,102.002,179.256,142.7%,sarima_Nashik_wind_power_density_50m.pkl
Nashik,wind_power_density_10m,Success,16204.29,48.145,85.006,188.9%,sarima_Nashik_wind_power_density_10m.pkl
Nalgonda,wind_speed_2m,Success,4086.92,0.796,1.013,38.2%,sarima_Nalgonda_wind_speed_2m.pkl
Nashik,wind_speed_2m,Success,4380.69,0.891,1.239,30.8%,sarima_Nashik_wind_speed_2m.pkl
Palakkad,wind_power_density_10m,Success,14357.00,18.707,22.397,492.2%,sarima_Palakkad_wind_power_density_10m.pkl
Navsari,wind_speed_2m,Success,4059.46,0.850,1.122,30.6%,sarima_Navsari_wind_speed_2m.pkl
Navsari,wind_speed_10m,Success,4862.99,1.065,1.428,26.2%,sarima_Navsari_wind_speed_10m.pkl
Palakkad,wind_speed_10m,Success,4798.40,0.905,1.102,41.2%,sarima_Palakkad_wind_speed_10m.pkl
Navsari,wind_power_density_50m,Success,17945.99,89.373,143.692,129.9%,sarima_Navsari_wind_power_density_50m.pkl
Palakkad,wind_speed_50m,Success,5654.49,1.277,1.548,39.7%,sarima_Palakkad_wind_speed_50m.pkl
Navsari,wind_power_density_10m,Success,15496.81,37.681,63.534,146.8%,sarima_Navsari_wind_power_density_10m.pkl
Navsari,wind_speed_50m,Success,5662.76,1.326,1.773,23.9%,sarima_Navsari_wind_speed_50m.pkl
Palakkad,wind_power_density_50m,Success,17036.54,52.690,62.448,419.9%,sarima_Palakkad_wind_power_density_50m.pkl
Palakkad,wind_speed_2m,Success,3711.77,0.621,0.752,44.1%,sarima_Palakkad_wind_speed_2m.pkl
Patna,wind_speed_50m,Success,5666.17,1.621,1.997,45.0%,sarima_Patna_wind_speed_50m.pkl
Patna,wind_speed_10m,Success,4667.34,1.120,1.403,46.3%,sarima_Patna_wind_speed_10m.pkl
Patna,wind_power_density_50m,Success,17364.92,84.057,128.528,493.3%,sarima_Patna_wind_power_density_50m.pkl
Phalodi,wind_speed_50m,Success,5769.75,1.526,1.870,33.9%,sarima_Phalodi_wind_speed_50m.pkl
Patna,wind_power_density_10m,Success,14721.34,27.826,47.928,557.4%,sarima_Patna_wind_power_density_10m.pkl
Phalodi,wind_power_density_10m,Success,15671.37,40.674,55.095,303.2%,sarima_Phalodi_wind_power_density_10m.pkl
Phalodi,wind_speed_10m,Success,5143.27,1.244,1.565,36.2%,sarima_Phalodi_wind_speed_10m.pkl
Patna,wind_speed_2m,Success,3790.88,0.820,1.037,51.1%,sarima_Patna_wind_speed_2m.pkl
Phalodi,wind_power_density_50m,Success,17609.47,83.633,108.536,265.2%,sarima_Phalodi_wind_power_density_50m.pkl
Phalodi,wind_speed_2m,Success,4600.56,1.054,1.322,42.0%,sarima_Phalodi_wind_speed_2m.pkl
Porbandar,wind_power_density_10m,Success,17843.23,82.618,141.376,140.6%,sarima_Porbandar_wind_power_density_10m.pkl
Porbandar,wind_speed_10m,Success,5449.19,1.286,1.714,24.2%,sarima_Porbandar_wind_speed_10m.pkl
Porbandar,wind_power_density_50m,Success,19140.86,130.075,229.486,157.2%,sarima_Porbandar_wind_power_density_50m.pkl
Porbandar,wind_speed_2m,Success,4884.85,1.065,1.405,23.3%,sarima_Porbandar_wind_speed_2m.pkl
Porbandar,wind_speed_50m,Success,5929.39,1.532,2.046,25.3%,sarima_Porbandar_wind_speed_50m.pkl
Puducherry,wind_speed_50m,Success,5394.01,1.245,1.507,27.0%,sarima_Puducherry_wind_speed_50m.pkl
Puducherry,wind_speed_10m,Success,4696.51,0.955,1.180,25.1%,sarima_Puducherry_wind_speed_10m.pkl
Puducherry,wind_power_density_10m,Success,16069.43,34.924,47.371,136.6%,sarima_Puducherry_wind_power_density_10m.pkl
Puducherry,wind_power_density_50m,Success,17884.30,68.527,90.708,149.8%,sarima_Puducherry_wind_power_density_50m.pkl
Pune,wind_power_density_10m,Success,16407.11,50.474,84.828,233.0%,sarima_Pune_wind_power_density_10m.pkl
Puducherry,wind_speed_2m,Success,4015.22,0.756,0.934,24.3%,sarima_Puducherry_wind_speed_2m.pkl
Pune,wind_speed_10m,Success,5338.98,1.116,1.609,27.8%,sarima_Pune_wind_speed_10m.pkl
Pune,wind_speed_50m,Success,6017.51,1.397,1.973,25.5%,sarima_Pune_wind_speed_50m.pkl
Pune,wind_speed_2m,Success,4493.96,0.883,1.249,32.8%,sarima_Pune_wind_speed_2m.pkl
Pune,wind_power_density_50m,Success,18569.39,106.863,176.034,180.8%,sarima_Pune_wind_power_density_50m.pkl
Raigad,wind_speed_10m,Success,4740.35,0.836,1.237,22.3%,sarima_Raigad_wind_speed_10m.pkl
Raigad,wind_power_density_50m,Success,17739.13,79.407,126.075,164.2%,sarima_Raigad_wind_power_density_50m.pkl
Raigad,wind_speed_50m,Success,5635.13,1.221,1.661,25.8%,sarima_Raigad_wind_speed_50m.pkl
Raigad,wind_power_density_10m,Success,15347.37,33.497,56.542,152.4%,sarima_Raigad_wind_power_density_10m.pkl
Raigad,wind_speed_2m,Success,3940.20,0.638,0.953,23.5%,sarima_Raigad_wind_speed_2m.pkl
Rajkot,wind_speed_2m,Success,4788.63,1.564,1.929,43.9%,sarima_Rajkot_wind_speed_2m.pkl
Rajkot,wind_speed_50m,Success,5583.73,1.392,1.778,28.6%,sarima_Rajkot_wind_speed_50m.pkl
Rameshwaram,wind_power_density_10m,Success,18242.45,95.204,113.329,346.5%,sarima_Rameshwaram_wind_power_density_10m.pkl
Rajkot,wind_power_density_10m,Success,16236.17,44.371,66.621,258.8%,sarima_Rajkot_wind_power_density_10m.pkl
Rajkot,wind_power_density_50m,Success,18002.18,84.412,122.379,224.5%,sarima_Rajkot_wind_power_density_50m.pkl
Rameshwaram,wind_speed_50m,Success,6429.59,1.759,2.181,39.5%,sarima_Rameshwaram_wind_speed_50m.pkl
Rajkot,wind_speed_10m,Success,5120.59,1.213,1.553,32.4%,sarima_Rajkot_wind_speed_10m.pkl
Rameshwaram,wind_speed_10m,Success,5946.38,1.482,1.839,37.2%,sarima_Rameshwaram_wind_speed_10m.pkl
Rameshwaram,wind_power_density_50m,Success,19521.94,147.743,177.234,397.4%,sarima_Rameshwaram_wind_power_density_50m.pkl
Ranchi,wind_speed_10m,Success,4170.05,0.901,1.107,39.3%,sarima_Ranchi_wind_speed_10m.pkl
Ranchi,wind_speed_50m,Success,5190.61,1.349,1.668,41.1%,sarima_Ranchi_wind_speed_50m.pkl
Ranchi,wind_power_density_50m,Success,16036.32,54.076,74.694,344.0%,sarima_Ranchi_wind_power_density_50m.pkl
Rameshwaram,wind_speed_2m,Success,5353.19,1.220,1.520,35.4%,sarima_Rameshwaram_wind_speed_2m.pkl
Ranchi,wind_power_density_10m,Success,13200.51,16.329,22.737,310.2%,sarima_Ranchi_wind_power_density_10m.pkl
Ranchi,wind_speed_2m,Success,3254.04,0.652,0.798,42.7%,sarima_Ranchi_wind_speed_2m.pkl
Rangareddy,wind_power_density_50m,Success,18539.09,97.301,138.174,271.7%,sarima_Rangareddy_wind_power_density_50m.pkl
