City,Parameter,Status,AIC,MAE,RMSE,MAPE,Model_File
Barmer,wind_speed_2m,Success,4990.17,1.170,1.416,43.6%,sarima_Barmer_wind_speed_2m.pkl
Barmer,wind_power_density_10m,Success,16559.77,50.822,65.383,372.3%,sarima_Barmer_wind_power_density_10m.pkl
Barmer,wind_power_density_50m,Success,18195.10,93.065,117.101,275.8%,sarima_Barmer_wind_power_density_50m.pkl
Barmer,wind_speed_10m,Success,5541.49,1.341,1.650,36.1%,sarima_Barmer_wind_speed_10m.pkl
Bellary,wind_power_density_10m,Success,17430.67,70.646,98.778,319.2%,sarima_Bellary_wind_power_density_10m.pkl
Belgaum,wind_speed_2m,Success,4399.65,0.845,1.101,36.3%,sarima_Belgaum_wind_speed_2m.pkl
Bellary,wind_speed_10m,Success,5802.18,1.384,1.774,34.8%,sarima_Bellary_wind_speed_10m.pkl
Belgaum,wind_power_density_10m,Success,16372.12,46.740,66.844,312.4%,sarima_Belgaum_wind_power_density_10m.pkl
Belgaum,wind_speed_10m,Success,5402.96,1.174,1.533,33.3%,sarima_Belgaum_wind_speed_10m.pkl
Belgaum,wind_power_density_50m,Success,18792.38,114.506,157.676,269.1%,sarima_Belgaum_wind_power_density_50m.pkl
Belgaum,wind_speed_50m,Success,6173.62,1.588,2.011,32.3%,sarima_Belgaum_wind_speed_50m.pkl
Bellary,wind_speed_50m,Success,6358.30,1.592,2.055,28.6%,sarima_Bellary_wind_speed_50m.pkl
Bellary,wind_speed_2m,Success,5038.39,1.086,1.392,38.5%,sarima_Bellary_wind_speed_2m.pkl
Bellary,wind_power_density_50m,Success,19484.77,142.712,194.741,215.1%,sarima_Bellary_wind_power_density_50m.pkl
Bharuch,wind_speed_10m,Success,4868.20,1.072,1.409,26.8%,sarima_Bharuch_wind_speed_10m.pkl
Bharuch,wind_speed_2m,Success,4104.22,0.871,1.129,32.3%,sarima_Bharuch_wind_speed_2m.pkl
Bharuch,wind_power_density_50m,Success,17778.61,82.494,124.828,119.2%,sarima_Bharuch_wind_power_density_50m.pkl
Bharuch,wind_power_density_10m,Success,15474.29,36.292,56.785,145.5%,sarima_Bharuch_wind_power_density_10m.pkl
Bharuch,wind_speed_50m,Success,5569.56,1.296,1.683,23.6%,sarima_Bharuch_wind_speed_50m.pkl
